Date,Open,High,Low,Close,Adj Close,Volume
Jul 18 2025,210.87,211.79,209.7,211.18,210.74,48974600
Jul 17 2025,210.57,211.8,209.59,210.02,209.58,48068100
Jul 16 2025,210.3,212.4,208.64,210.16,209.72,47490500
Jul 15 2025,209.22,211.89,208.92,209.11,208.67,42296300
Jul 14 2025,209.93,210.91,207.54,208.62,208.18,38840000
Jul 11 2025,210.57,212.13,209.86,211.16,210.72,39765800
Jul 10 2025,210.51,213.48,210.03,212.41,211.96,44443600
Jul 9 2025,209.53,211.33,207.22,211.14,210.7,48749400
Jul 8 2025,210.1,211.43,208.45,210.01,209.57,42848900
Jul 7 2025,212.68,216.23,208.8,209.95,209.51,50229000
Jul 3 2025,212.15,214.65,211.81,213.55,213.1,34955800
Jul 2 2025,208.91,213.34,208.14,212.44,211.99,67941800
Jul 1 2025,206.67,210.19,206.14,207.82,207.38,78788900
Jun 30 2025,202.01,207.39,199.26,205.17,204.74,91912800
Jun 27 2025,201.89,203.22,200,201.08,200.66,73188600
Jun 26 2025,201.43,202.64,199.46,201,200.58,50799100
Jun 25 2025,201.45,203.67,200.62,201.56,201.14,39525700
Jun 24 2025,202.59,203.44,200.2,200.3,199.88,54064000
Jun 23 2025,201.63,202.3,198.96,201.5,201.08,55814300
Jun 20 2025,198.24,201.7,196.86,201,200.58,96813500
Jun 18 2025,195.94,197.57,195.07,196.58,196.17,45394700
Jun 17 2025,197.2,198.39,195.21,195.64,195.23,38856200
Jun 16 2025,197.3,198.69,196.56,198.42,198,43020700
Jun 13 2025,199.73,200.37,195.7,196.45,196.04,51447300
Jun 12 2025,199.08,199.68,197.36,199.2,198.78,43904600
Jun 11 2025,203.5,204.5,198.41,198.78,198.36,60989900
Jun 10 2025,200.6,204.35,200.57,202.67,202.24,54672600
Jun 9 2025,204.39,206,200.02,201.45,201.03,72862600
Jun 6 2025,203,205.7,202.05,203.92,203.49,46607000
Jun 5 2025,203.5,204.75,200.15,200.63,200.21,55126100
Jun 4 2025,202.91,206.24,202.1,202.82,202.39,43604000
Jun 3 2025,201.35,203.77,200.96,203.27,202.84,46381600
Jun 2 2025,200.28,202.13,200.12,201.7,201.28,35423300
May 30 2025,199.37,201.96,196.78,200.85,200.43,70819900
May 29 2025,203.58,203.81,198.51,199.95,199.53,51396800
May 28 2025,200.59,202.73,199.9,200.42,200,45339700
May 27 2025,198.3,200.74,197.43,200.21,199.79,56288500
May 23 2025,193.67,197.7,193.46,195.27,194.86,78432900
May 22 2025,200.71,202.75,199.7,201.36,200.94,46742400
May 21 2025,205.17,207.04,200.71,202.09,201.67,59211800
May 20 2025,207.67,208.47,205.03,206.86,206.43,42496600
May 19 2025,207.91,209.48,204.26,208.78,208.34,46140500
May 16 2025,212.36,212.57,209.77,211.26,210.82,54737900
May 15 2025,210.95,212.96,209.54,211.45,211.01,45029500
May 14 2025,212.43,213.94,210.58,212.33,211.88,49325800
May 13 2025,210.43,213.4,209,212.93,212.48,51909300
May 12 2025,210.97,211.27,206.75,210.79,210.35,63775800
May 9 2025,199,200.54,197.54,198.53,197.85,36453900
May 7 2025,199.17,199.44,193.25,196.25,195.58,68536700
May 6 2025,198.21,200.65,197.02,198.51,197.83,51216500
May 5 2025,203.1,204.1,198.21,198.89,198.21,69018500
May 2 2025,206.09,206.99,202.16,205.35,204.65,101010600
